Geographic Area Name,Estimate!!Households!!Total,Estimate!!Households!!Mean income (dollars)
ZCTA5 32709,661,105671
ZCTA5 32712,15684,97066
ZCTA5 32713,8366,85353
ZCTA5 32714,15224,71809
ZCTA5 32720,12430,72676
ZCTA5 32724,14929,71730
ZCTA5 32725,16823,65296
ZCTA5 32726,9101,61803
ZCTA5 32730,2809,61813
ZCTA5 32732,1868,100379
ZCTA5 32735,1779,60402
ZCTA5 32736,3690,97200
ZCTA5 32738,14966,69327
ZCTA5 32744,1241,77862
ZCTA5 32746,19018,117703
ZCTA5 32750,9469,92654
ZCTA5 32751,8731,108187
ZCTA5 32754,4402,68162
ZCTA5 32757,11765,82627
ZCTA5 32759,1226,62625
ZCTA5 32763,9473,66407
ZCTA5 32764,1150,87852
ZCTA5 32765,21663,101251
ZCTA5 32766,4925,132687
ZCTA5 32767,1064,77042
ZCTA5 32771,20486,87199
ZCTA5 32773,11327,66783
ZCTA5 32776,4183,95013
ZCTA5 32778,9974,70273
ZCTA5 32779,11209,134614
ZCTA5 32780,15211,67934
ZCTA5 32784,3962,75394
ZCTA5 32789,11187,157455
ZCTA5 32792,21236,74607
ZCTA5 32796,8208,67253
ZCTA5 32798,1329,59753
ZCTA5 32801,7967,102943
ZCTA5 32803,9764,109092
ZCTA5 32804,8201,126239
ZCTA5 32805,7385,48607
ZCTA5 32806,10922,103667
ZCTA5 32807,12012,57740
ZCTA5 32808,18603,54089
ZCTA5 32809,9457,70276
ZCTA5 32810,13410,66215
ZCTA5 32811,14402,52865
ZCTA5 32812,13889,81887
ZCTA5 32814,3417,143004
ZCTA5 32817,11083,80883
ZCTA5 32818,17456,58197
ZCTA5 32819,9814,106777
ZCTA5 32820,2992,111967
ZCTA5 32821,8111,65040
ZCTA5 32822,22655,51894
ZCTA5 32824,13767,81227
ZCTA5 32825,19123,78656
ZCTA5 32826,8672,74248
ZCTA5 32827,3561,116706
ZCTA5 32828,23465,92517
ZCTA5 32829,6428,88235
ZCTA5 32830,0,-
ZCTA5 32831,28,37082
ZCTA5 32832,10108,116323
ZCTA5 32833,3154,89428
ZCTA5 32835,17323,84268
ZCTA5 32836,7117,173903
ZCTA5 32837,16191,78268
ZCTA5 32839,17392,53207
ZCTA5 32901,10658,57117
ZCTA5 32903,6165,113906
ZCTA5 32904,12791,84645
ZCTA5 32905,9379,52962
ZCTA5 32907,15617,65779
ZCTA5 32908,3785,64823
ZCTA5 32909,10655,75164
ZCTA5 32920,5939,72760
ZCTA5 32922,6982,54030
ZCTA5 32925,487,74307
ZCTA5 32926,8923,74780
ZCTA5 32927,10005,84145
ZCTA5 32931,7451,96500
ZCTA5 32934,7159,102615
ZCTA5 32935,16797,66098
ZCTA5 32937,10881,104501
ZCTA5 32940,17828,104517
ZCTA5 32948,1559,55266
ZCTA5 32949,954,110833
ZCTA5 32950,1788,90039
ZCTA5 32951,5928,107389
ZCTA5 32952,8273,110519
ZCTA5 32953,9507,88555
ZCTA5 32955,15284,89241
ZCTA5 32958,12414,69796
ZCTA5 32960,9148,67742
ZCTA5 32962,8723,67777
ZCTA5 32963,7574,214993
ZCTA5 32966,8559,71516
ZCTA5 32967,8009,78169
ZCTA5 32968,4904,91296
ZCTA5 32970,69,23003
ZCTA5 32976,5165,54948
ZCTA5 33001,167,45903
ZCTA5 33004,6716,75961
ZCTA5 33009,18988,61009
ZCTA5 33010,15885,45727
ZCTA5 33012,25596,49101
ZCTA5 33013,9293,55108
ZCTA5 33014,14076,67610
ZCTA5 33015,22066,69838
ZCTA5 33016,15816,73735
ZCTA5 33018,15539,82315
ZCTA5 33019,6444,121607
ZCTA5 33020,18655,60748
ZCTA5 33021,18677,84948
ZCTA5 33023,20634,68306
ZCTA5 33024,23519,83002
ZCTA5 33025,26049,67871
ZCTA5 33026,11956,94799
ZCTA5 33027,24319,81685
ZCTA5 33028,8407,118987
ZCTA5 33029,12870,135728
ZCTA5 33030,9091,53980
ZCTA5 33031,2490,137469
ZCTA5 33032,14559,67469
ZCTA5 33033,15906,66126
ZCTA5 33034,5056,47845
ZCTA5 33035,4533,76059
ZCTA5 33036,1592,118508
ZCTA5 33037,4758,111594
ZCTA5 33039,138,60724
ZCTA5 33040,14487,103409
ZCTA5 33042,2971,128755
ZCTA5 33043,2063,88409
ZCTA5 33050,4183,91631
ZCTA5 33051,321,142599
ZCTA5 33054,9518,43967
ZCTA5 33055,10985,57578
ZCTA5 33056,10161,61239
ZCTA5 33060,13531,64751
ZCTA5 33062,12839,100429
ZCTA5 33063,24451,64083
ZCTA5 33064,21303,77145
ZCTA5 33065,18697,77036
ZCTA5 33066,8697,113653
ZCTA5 33067,8269,148001
ZCTA5 33068,17013,61153
ZCTA5 33069,10500,65582
ZCTA5 33070,2238,108019
ZCTA5 33071,12985,111238
ZCTA5 33073,11776,92690
ZCTA5 33076,12372,173046
ZCTA5 33101,0,-
ZCTA5 33109,213,329835
ZCTA5 33122,166,90031
ZCTA5 33125,21716,53094
ZCTA5 33126,18035,52737
ZCTA5 33127,9800,43245
ZCTA5 33128,3461,34231
ZCTA5 33129,6680,117739
ZCTA5 33130,15856,71092
ZCTA5 33131,11265,157682
ZCTA5 33132,7631,114636
ZCTA5 33133,14081,146442
ZCTA5 33134,16297,110623
ZCTA5 33135,14278,45784
ZCTA5 33136,6497,40983
ZCTA5 33137,9900,92759
ZCTA5 33138,12053,87966
ZCTA5 33139,20559,108377
ZCTA5 33140,9002,165133
ZCTA5 33141,17387,83384
ZCTA5 33142,20142,39422
ZCTA5 33143,12855,131894
ZCTA5 33144,9720,67733
ZCTA5 33145,11710,77589
ZCTA5 33146,4841,194454
ZCTA5 33147,13966,53490
ZCTA5 33149,4079,242022
ZCTA5 33150,10221,46731
ZCTA5 33154,5800,131299
ZCTA5 33155,14375,95716
ZCTA5 33156,11004,221675
ZCTA5 33157,19184,98313
ZCTA5 33158,1983,225581
ZCTA5 33160,19405,92945
ZCTA5 33161,16822,57394
ZCTA5 33162,13541,64985
ZCTA5 33165,16649,84439
ZCTA5 33166,8592,80784
ZCTA5 33167,6140,58389
ZCTA5 33168,6353,61254
ZCTA5 33169,11984,59366
ZCTA5 33170,3680,67320
ZCTA5 33172,13754,62986
ZCTA5 33173,11056,98009
ZCTA5 33174,10902,65234
ZCTA5 33175,16670,81014
ZCTA5 33176,18160,108922
ZCTA5 33177,15423,75938
ZCTA5 33178,15834,94374
ZCTA5 33179,16919,67383
ZCTA5 33180,14121,122742
ZCTA5 33181,7768,77054
ZCTA5 33182,3985,103895
ZCTA5 33183,12243,77447
ZCTA5 33184,6126,72334
ZCTA5 33185,8627,102148
ZCTA5 33186,21711,85188
ZCTA5 33187,5224,99537
ZCTA5 33189,7813,72759
ZCTA5 33190,5053,75885
ZCTA5 33193,15108,76770
ZCTA5 33194,1712,120107
ZCTA5 33196,15370,94590
ZCTA5 33301,8380,158132
ZCTA5 33304,8980,99896
ZCTA5 33305,6815,115160
ZCTA5 33306,1729,159083
ZCTA5 33308,14957,122494
ZCTA5 33309,13517,71576
ZCTA5 33311,24216,49086
ZCTA5 33312,18201,82923
ZCTA5 33313,20084,54298
ZCTA5 33314,9195,69290
ZCTA5 33315,5778,91591
ZCTA5 33316,5042,162905
ZCTA5 33317,12453,89513
ZCTA5 33319,19166,65618
ZCTA5 33321,19943,65577
ZCTA5 33322,17901,72128
ZCTA5 33323,7576,115781
ZCTA5 33324,19331,93934
ZCTA5 33325,9933,107055
ZCTA5 33326,10632,118441
ZCTA5 33327,6681,174748
ZCTA5 33328,10179,125048
ZCTA5 33330,4569,168627
ZCTA5 33331,7357,170376
ZCTA5 33332,3395,200477
ZCTA5 33334,12353,82266
ZCTA5 33351,11911,73152
ZCTA5 33401,12537,81291
ZCTA5 33403,4345,65080
ZCTA5 33404,10437,72943
ZCTA5 33405,7645,81497
ZCTA5 33406,8173,85487
ZCTA5 33407,11084,61541
ZCTA5 33408,9380,126529
ZCTA5 33409,10781,68312
ZCTA5 33410,14701,133970
ZCTA5 33411,25446,92738
ZCTA5 33412,5227,130833
ZCTA5 33413,4993,89298
ZCTA5 33414,19720,114660
ZCTA5 33415,17195,58761
ZCTA5 33417,15284,54533
ZCTA5 33418,17185,155660
ZCTA5 33426,9760,71335
ZCTA5 33428,15030,101949
ZCTA5 33430,7219,45043
ZCTA5 33431,8253,125578
ZCTA5 33432,10751,153895
ZCTA5 33433,18917,91213
ZCTA5 33434,10008,105512
ZCTA5 33435,13961,80093
ZCTA5 33436,18492,88716
ZCTA5 33437,18026,85153
ZCTA5 33438,87,85405
ZCTA5 33440,6967,57834
ZCTA5 33441,11166,66178
ZCTA5 33442,13835,63327
ZCTA5 33444,8807,84192
ZCTA5 33445,13922,85544
ZCTA5 33446,13280,121649
ZCTA5 33449,3765,157394
ZCTA5 33455,9574,113292
ZCTA5 33458,21850,132592
ZCTA5 33460,10887,62458
ZCTA5 33461,14629,62597
ZCTA5 33462,12838,83061
ZCTA5 33463,18935,86866
ZCTA5 33467,20539,96935
ZCTA5 33469,6689,122776
ZCTA5 33470,8669,112126
ZCTA5 33471,2428,46097
ZCTA5 33472,7908,110623
ZCTA5 33473,4249,136418
ZCTA5 33476,2366,39372
ZCTA5 33477,7188,148509
ZCTA5 33478,4888,142657
ZCTA5 33480,6065,300960
ZCTA5 33483,6476,187841
ZCTA5 33484,14456,71170
ZCTA5 33486,9253,114972
ZCTA5 33487,9538,127426
ZCTA5 33493,795,63331
ZCTA5 33496,9994,172691
ZCTA5 33498,5555,141666
ZCTA5 33503,58,82016
ZCTA5 33510,10857,77011
ZCTA5 33511,22334,79120
ZCTA5 33513,4094,67145
ZCTA5 33514,808,54163
ZCTA5 33521,240,44897
ZCTA5 33523,6460,70787
ZCTA5 33525,6875,73003
ZCTA5 33527,5037,80356
ZCTA5 33534,5058,68926
ZCTA5 33538,2203,60524
ZCTA5 33540,4175,51013
ZCTA5 33541,9813,55619
ZCTA5 33542,10301,45479
ZCTA5 33543,9822,99790
ZCTA5 33544,9689,109557
ZCTA5 33545,6634,100791
ZCTA5 33547,7704,135075
ZCTA5 33548,2718,140668
ZCTA5 33549,6883,93450
ZCTA5 33556,8310,158971
ZCTA5 33558,9168,121853
ZCTA5 33559,6871,83335
ZCTA5 33563,9967,56756
ZCTA5 33565,6187,73656
ZCTA5 33566,7342,86264
ZCTA5 33567,3868,83147
ZCTA5 33569,10181,88644
ZCTA5 33570,9788,71811
ZCTA5 33572,8239,127039
ZCTA5 33573,13440,65136
ZCTA5 33576,2212,83067
ZCTA5 33578,20742,77903
ZCTA5 33579,12030,98559
ZCTA5 33584,9440,74278
ZCTA5 33585,411,70374
ZCTA5 33592,3963,74191
ZCTA5 33594,13214,88471
ZCTA5 33596,10047,118010
ZCTA5 33597,2987,66135
ZCTA5 33598,6726,82324
ZCTA5 33602,8599,109306
ZCTA5 33603,8753,71405
ZCTA5 33604,15811,58912
ZCTA5 33605,7585,39770
ZCTA5 33606,8894,154284
ZCTA5 33607,10932,63433
ZCTA5 33609,8497,140410
ZCTA5 33610,16771,49101
ZCTA5 33611,16269,103942
ZCTA5 33612,19021,47836
ZCTA5 33613,14911,55435
ZCTA5 33614,18229,55010
ZCTA5 33615,18028,73973
ZCTA5 33616,6265,91402
ZCTA5 33617,19281,59581
ZCTA5 33618,12100,106081
ZCTA5 33619,13347,59233
ZCTA5 33620,11,N
ZCTA5 33621,538,102195
ZCTA5 33624,15043,89008
ZCTA5 33625,11232,81007
ZCTA5 33626,11059,139754
ZCTA5 33629,10441,178207
ZCTA5 33634,7544,83180
ZCTA5 33635,7240,90470
ZCTA5 33637,7071,59256
ZCTA5 33647,25565,120593
ZCTA5 33701,9120,87867
ZCTA5 33702,14139,76814
ZCTA5 33703,11120,119558
ZCTA5 33704,8038,145715
ZCTA5 33705,11210,73087
ZCTA5 33706,8805,114601
ZCTA5 33707,12512,74263
ZCTA5 33708,7929,92298
ZCTA5 33709,10305,56349
ZCTA5 33710,14369,83121
ZCTA5 33711,6410,70047
ZCTA5 33712,9178,66046
ZCTA5 33713,13782,73735
ZCTA5 33714,7926,46402
ZCTA5 33715,3794,134028
ZCTA5 33716,9360,68947
ZCTA5 33744,0,-
ZCTA5 33755,9977,63559
ZCTA5 33756,13230,74826
ZCTA5 33759,7820,76453
ZCTA5 33760,7162,66350
ZCTA5 33761,8736,78079
ZCTA5 33762,2633,96260
ZCTA5 33763,9403,59538
ZCTA5 33764,11852,76715
ZCTA5 33765,6372,68728
ZCTA5 33767,4049,143679
ZCTA5 33770,11561,66174
ZCTA5 33771,13316,55452
ZCTA5 33772,9801,78049
ZCTA5 33773,6831,75018
ZCTA5 33774,7988,77122
ZCTA5 33776,4805,107765
ZCTA5 33777,6956,99788
ZCTA5 33778,6218,73156
ZCTA5 33781,9974,65307
ZCTA5 33782,9273,71525
ZCTA5 33785,2874,115454
ZCTA5 33786,731,160761
ZCTA5 33801,11736,46403
ZCTA5 33803,11867,83585
ZCTA5 33805,9236,55074
ZCTA5 33809,11094,70453
ZCTA5 33810,17958,69946
ZCTA5 33811,8064,85088
ZCTA5 33812,4216,89762
ZCTA5 33813,12939,112678
ZCTA5 33815,5693,45722
ZCTA5 33823,11571,74787
ZCTA5 33825,9629,53389
ZCTA5 33827,955,92026
ZCTA5 33830,9829,66819
ZCTA5 33834,1728,55013
ZCTA5 33837,10313,75255
ZCTA5 33838,1356,44178
ZCTA5 33839,1063,86351
ZCTA5 33841,3207,61250
ZCTA5 33843,3945,53664
ZCTA5 33844,13179,64046
ZCTA5 33847,50,73214
ZCTA5 33848,172,50682
ZCTA5 33849,196,56421
ZCTA5 33850,3440,55087
ZCTA5 33851,342,65842
ZCTA5 33852,8826,84147
ZCTA5 33853,4408,53328
ZCTA5 33854,188,51780
ZCTA5 33855,0,-
ZCTA5 33856,251,29371
ZCTA5 33857,901,49168
ZCTA5 33859,4325,54310
ZCTA5 33860,8217,67058
ZCTA5 33865,274,57069
ZCTA5 33867,95,36609
ZCTA5 33868,3873,69136
ZCTA5 33870,8700,51894
ZCTA5 33872,7062,65741
ZCTA5 33873,4417,65757
ZCTA5 33875,4883,72675
ZCTA5 33876,2282,56883
ZCTA5 33877,87,N
ZCTA5 33880,13688,59305
ZCTA5 33881,12482,61863
ZCTA5 33884,12348,82438
ZCTA5 33890,1636,55669
ZCTA5 33896,4245,70259
ZCTA5 33897,7246,75722
ZCTA5 33898,6479,62707
ZCTA5 33901,9036,72115
ZCTA5 33903,11394,60691
ZCTA5 33904,13958,70620
ZCTA5 33905,12616,67670
ZCTA5 33907,10115,57735
ZCTA5 33908,18163,93172
ZCTA5 33909,10678,65890
ZCTA5 33912,8628,120127
