Geographic Area Name,Estimate!!Households!!Total,Estimate!!Households!!Mean income (dollars)
ZCTA5 16827,1805,123803
ZCTA5 16828,2049,98131
ZCTA5 16829,289,66056
ZCTA5 16830,5782,68369
ZCTA5 16832,136,78920
ZCTA5 16833,2227,58817
ZCTA5 16834,240,78381
ZCTA5 16835,94,79544
ZCTA5 16836,459,59517
ZCTA5 16837,73,35640
ZCTA5 16838,750,59944
ZCTA5 16839,201,64345
ZCTA5 16840,177,80756
ZCTA5 16841,2246,82223
ZCTA5 16843,238,43723
ZCTA5 16844,989,77529
ZCTA5 16845,334,67241
ZCTA5 16847,106,160533
ZCTA5 16848,176,59090
ZCTA5 16849,92,35902
ZCTA5 16851,343,97128
ZCTA5 16852,101,61997
ZCTA5 16853,96,45061
ZCTA5 16854,272,64155
ZCTA5 16855,83,32917
ZCTA5 16858,1490,68613
ZCTA5 16859,199,68837
ZCTA5 16860,243,53006
ZCTA5 16861,160,40986
ZCTA5 16863,205,53700
ZCTA5 16865,716,124230
ZCTA5 16866,3929,62396
ZCTA5 16868,405,89056
ZCTA5 16870,2692,144568
ZCTA5 16871,34,57965
ZCTA5 16872,410,72110
ZCTA5 16874,539,65241
ZCTA5 16875,1524,84556
ZCTA5 16876,105,49684
ZCTA5 16877,847,97146
ZCTA5 16878,665,61453
ZCTA5 16879,198,51599
ZCTA5 16881,1020,55661
ZCTA5 16882,145,69643
ZCTA5 16901,4230,66373
ZCTA5 16911,193,77984
ZCTA5 16912,832,76402
ZCTA5 16914,945,70162
ZCTA5 16915,2377,70644
ZCTA5 16917,483,67623
ZCTA5 16920,768,63478
ZCTA5 16921,248,47442
ZCTA5 16922,812,53460
ZCTA5 16923,600,57553
ZCTA5 16925,1269,69285
ZCTA5 16926,340,77972
ZCTA5 16927,203,57318
ZCTA5 16928,546,67787
ZCTA5 16929,956,72080
ZCTA5 16930,462,71340
ZCTA5 16932,322,61999
ZCTA5 16933,2682,62480
ZCTA5 16935,486,75735
ZCTA5 16936,857,69716
ZCTA5 16937,69,57677
ZCTA5 16938,352,72147
ZCTA5 16939,129,51066
ZCTA5 16940,88,52577
ZCTA5 16941,33,55242
ZCTA5 16942,295,65754
ZCTA5 16943,172,57143
ZCTA5 16946,1003,56605
ZCTA5 16947,1697,64422
ZCTA5 16948,589,59501
ZCTA5 16950,1272,54616
ZCTA5 17002,219,83918
ZCTA5 17003,4472,87921
ZCTA5 17004,1623,67389
ZCTA5 17005,124,65915
ZCTA5 17006,325,72723
ZCTA5 17007,2158,102179
ZCTA5 17009,840,68540
ZCTA5 17010,75,N
ZCTA5 17011,13802,95684
ZCTA5 17013,14599,79232
ZCTA5 17015,8307,109699
ZCTA5 17016,472,71441
ZCTA5 17017,658,77916
ZCTA5 17018,1897,86605
ZCTA5 17019,7429,97211
ZCTA5 17020,3639,90461
ZCTA5 17021,408,60630
ZCTA5 17022,12054,86953
ZCTA5 17023,1318,74551
ZCTA5 17024,720,84371
ZCTA5 17025,7347,86934
ZCTA5 17026,1492,102532
ZCTA5 17027,87,82217
ZCTA5 17028,1585,87396
ZCTA5 17029,29,N
ZCTA5 17030,390,61233
ZCTA5 17032,3228,81493
ZCTA5 17033,6864,104812
ZCTA5 17034,1063,52720
ZCTA5 17035,398,47859
ZCTA5 17036,9200,124105
ZCTA5 17037,310,58431
ZCTA5 17038,3429,72495
ZCTA5 17039,41,N
ZCTA5 17040,931,91333
ZCTA5 17041,93,160606
ZCTA5 17042,14804,77700
ZCTA5 17043,2752,85178
ZCTA5 17044,9178,61760
ZCTA5 17045,1410,84780
ZCTA5 17046,11901,62324
ZCTA5 17047,893,75910
ZCTA5 17048,1555,65523
ZCTA5 17049,1101,88021
ZCTA5 17050,15464,119728
ZCTA5 17051,2016,61484
ZCTA5 17052,584,70216
ZCTA5 17053,2254,87293
ZCTA5 17055,16147,96521
ZCTA5 17056,41,81480
ZCTA5 17057,9845,79867
ZCTA5 17058,568,61527
ZCTA5 17059,3226,65222
ZCTA5 17060,378,61158
ZCTA5 17061,2965,66072
ZCTA5 17062,1595,87888
ZCTA5 17063,1328,67468
ZCTA5 17064,244,118566
ZCTA5 17065,1517,73912
ZCTA5 17066,2267,55408
ZCTA5 17067,5750,78177
ZCTA5 17068,1644,82844
ZCTA5 17069,55,52440
ZCTA5 17070,7394,87184
ZCTA5 17071,46,74222
ZCTA5 17072,139,33786
ZCTA5 17073,1995,94441
ZCTA5 17074,2966,75908
ZCTA5 17075,68,77991
ZCTA5 17076,25,N
ZCTA5 17077,0,-
ZCTA5 17078,8635,82988
ZCTA5 17080,111,75656
ZCTA5 17081,191,40609
ZCTA5 17082,1166,73214
ZCTA5 17083,39,122700
ZCTA5 17084,1734,74242
ZCTA5 17086,767,79828
ZCTA5 17087,980,82896
ZCTA5 17088,303,83641
ZCTA5 17090,2672,76165
ZCTA5 17093,514,67372
ZCTA5 17094,1022,59672
ZCTA5 17097,269,60200
ZCTA5 17098,982,58578
ZCTA5 17099,553,59626
ZCTA5 17101,1725,45676
ZCTA5 17102,4351,63835
ZCTA5 17103,4634,47479
ZCTA5 17104,7512,50618
ZCTA5 17109,10499,68644
ZCTA5 17110,10560,89902
ZCTA5 17111,12874,91174
ZCTA5 17112,14817,106282
ZCTA5 17113,3741,64793
ZCTA5 17120,0,-
ZCTA5 17201,11719,63829
ZCTA5 17202,11519,97331
ZCTA5 17210,60,59593
ZCTA5 17211,173,54764
ZCTA5 17212,243,87076
ZCTA5 17213,242,68229
ZCTA5 17214,424,74921
ZCTA5 17215,88,82265
ZCTA5 17217,64,54870
ZCTA5 17219,271,47345
ZCTA5 17220,221,46580
ZCTA5 17221,256,78396
ZCTA5 17222,4635,73611
ZCTA5 17223,133,44941
ZCTA5 17224,983,83221
ZCTA5 17225,7596,99536
ZCTA5 17228,411,71602
ZCTA5 17229,569,68411
ZCTA5 17233,2303,58350
ZCTA5 17235,335,67840
ZCTA5 17236,3101,79414
ZCTA5 17237,747,70580
ZCTA5 17238,632,68345
ZCTA5 17239,63,75965
ZCTA5 17240,1442,78396
ZCTA5 17241,4629,74941
ZCTA5 17243,512,72565
ZCTA5 17244,840,72155
ZCTA5 17246,155,60134
ZCTA5 17247,195,96836
ZCTA5 17249,132,67554
ZCTA5 17250,33,N
ZCTA5 17251,32,67459
ZCTA5 17252,1330,70326
ZCTA5 17253,150,61770
ZCTA5 17254,36,N
ZCTA5 17255,469,65176
ZCTA5 17256,56,N
ZCTA5 17257,11708,68971
ZCTA5 17260,442,52006
ZCTA5 17261,0,-
ZCTA5 17262,543,63453
ZCTA5 17263,233,89070
ZCTA5 17264,946,62571
ZCTA5 17265,269,78749
ZCTA5 17266,185,68948
ZCTA5 17267,1123,82099
ZCTA5 17268,11652,71479
ZCTA5 17270,28,N
ZCTA5 17271,101,76565
ZCTA5 17272,163,39393
ZCTA5 17301,1571,84918
ZCTA5 17302,1062,77080
ZCTA5 17304,1128,80747
ZCTA5 17306,97,84042
ZCTA5 17307,2409,77509
ZCTA5 17309,901,71266
ZCTA5 17311,104,55381
ZCTA5 17313,4624,72264
ZCTA5 17314,2124,85762
ZCTA5 17315,10799,82687
ZCTA5 17316,3153,95814
ZCTA5 17317,205,77516
ZCTA5 17318,126,61516
ZCTA5 17319,4448,86436
ZCTA5 17320,3086,87101
ZCTA5 17321,883,100136
ZCTA5 17322,2340,105389
ZCTA5 17324,1598,77891
ZCTA5 17325,10853,86997
ZCTA5 17327,3185,89994
ZCTA5 17329,887,103738
ZCTA5 17331,21175,79637
ZCTA5 17339,2934,102225
ZCTA5 17340,4334,83808
ZCTA5 17343,38,76100
ZCTA5 17344,1487,61115
ZCTA5 17345,3342,73182
ZCTA5 17347,2546,88455
ZCTA5 17349,2670,108792
ZCTA5 17350,5031,74103
ZCTA5 17352,578,84793
ZCTA5 17353,1278,80675
ZCTA5 17355,152,82130
ZCTA5 17356,8650,87178
ZCTA5 17360,2585,99862
ZCTA5 17361,2594,98118
ZCTA5 17362,5034,90410
ZCTA5 17363,3333,102931
ZCTA5 17364,1434,72823
ZCTA5 17365,949,84448
ZCTA5 17366,2259,78185
ZCTA5 17368,2467,83468
ZCTA5 17370,2202,81109
ZCTA5 17371,100,74348
ZCTA5 17372,1498,74434
ZCTA5 17401,6669,46597
ZCTA5 17402,13767,89975
ZCTA5 17403,14768,79083
ZCTA5 17404,14447,78898
ZCTA5 17406,8962,86445
ZCTA5 17407,988,107463
ZCTA5 17408,9584,84739
ZCTA5 17501,1861,79641
ZCTA5 17502,1042,95555
ZCTA5 17505,401,101412
ZCTA5 17507,63,N
ZCTA5 17508,106,56208
ZCTA5 17509,1398,100958
ZCTA5 17512,7347,68850
ZCTA5 17516,2017,89899
ZCTA5 17517,5474,86544
ZCTA5 17518,485,92999
ZCTA5 17519,2352,113270
ZCTA5 17520,1904,86051
ZCTA5 17522,13413,78472
ZCTA5 17527,1764,93669
ZCTA5 17529,1357,83296
ZCTA5 17532,1197,78847
ZCTA5 17535,720,109768
ZCTA5 17536,1065,78442
ZCTA5 17538,2921,87515
ZCTA5 17540,3505,80422
ZCTA5 17543,17510,110475
ZCTA5 17545,8634,86578
ZCTA5 17547,3037,83508
ZCTA5 17550,246,61624
ZCTA5 17551,4200,72308
ZCTA5 17552,8582,91584
ZCTA5 17554,2874,74880
ZCTA5 17555,2264,119852
ZCTA5 17557,5350,78012
ZCTA5 17560,1939,81391
ZCTA5 17562,1434,107416
ZCTA5 17563,1148,96757
ZCTA5 17565,789,118556
ZCTA5 17566,4103,81409
ZCTA5 17569,2135,98228
ZCTA5 17570,57,52226
ZCTA5 17572,1288,88481
ZCTA5 17576,2,N
ZCTA5 17578,2630,90928
ZCTA5 17579,2116,90902
ZCTA5 17581,302,69313
ZCTA5 17582,797,89477
ZCTA5 17584,4032,99600
ZCTA5 17601,21439,108120
ZCTA5 17602,18712,78933
ZCTA5 17603,25687,78106
ZCTA5 17606,259,35376
ZCTA5 17701,17885,62277
ZCTA5 17702,4420,70753
ZCTA5 17721,662,54250
ZCTA5 17723,24,55579
ZCTA5 17724,1905,56495
ZCTA5 17727,49,65159
ZCTA5 17728,2015,74834
ZCTA5 17729,35,43794
ZCTA5 17730,98,26942
ZCTA5 17731,95,123652
ZCTA5 17737,2791,69743
ZCTA5 17739,17,157000
ZCTA5 17740,4856,71436
ZCTA5 17742,19,53247
ZCTA5 17744,1194,63522
ZCTA5 17745,7249,62661
ZCTA5 17747,1088,78035
ZCTA5 17748,84,46140
ZCTA5 17749,114,63546
ZCTA5 17750,86,77385
ZCTA5 17751,2744,70469
ZCTA5 17752,1690,64904
ZCTA5 17754,4971,84724
ZCTA5 17756,4279,74098
ZCTA5 17758,397,71207
ZCTA5 17760,232,74157
ZCTA5 17762,238,95264
ZCTA5 17763,128,47776
ZCTA5 17764,1102,43936
ZCTA5 17765,428,67673
ZCTA5 17767,23,33413
ZCTA5 17768,164,75586
ZCTA5 17771,1289,79889
ZCTA5 17772,1043,85820
ZCTA5 17774,572,79946
ZCTA5 17776,119,59971
ZCTA5 17777,2884,71107
ZCTA5 17778,62,46340
ZCTA5 17779,88,86100
ZCTA5 17801,6878,62198
ZCTA5 17810,652,67315
ZCTA5 17812,613,64951
ZCTA5 17813,753,60512
ZCTA5 17814,1830,71059
ZCTA5 17815,11612,70273
ZCTA5 17820,2221,77176
ZCTA5 17821,7638,85642
ZCTA5 17822,0,-
ZCTA5 17823,490,72766
ZCTA5 17824,1641,85048
ZCTA5 17827,315,64745
ZCTA5 17829,96,77540
ZCTA5 17830,821,76756
ZCTA5 17832,310,48421
ZCTA5 17834,1510,61678
ZCTA5 17835,96,79245
ZCTA5 17836,79,68952
ZCTA5 17837,6758,90664
ZCTA5 17840,239,61596
ZCTA5 17841,1722,62825
ZCTA5 17842,3382,73456
ZCTA5 17844,3806,75465
ZCTA5 17845,639,65721
ZCTA5 17846,1543,64374
ZCTA5 17847,4892,65752
ZCTA5 17850,298,59849
ZCTA5 17851,3638,48149
ZCTA5 17853,1171,69170
ZCTA5 17855,340,71957
ZCTA5 17856,1385,84079
ZCTA5 17857,3149,72956
ZCTA5 17859,1130,74687
ZCTA5 17860,916,84579
ZCTA5 17861,79,86249
ZCTA5 17862,130,52586
ZCTA5 17864,695,79571
ZCTA5 17865,22,46491
ZCTA5 17866,3587,51611
ZCTA5 17867,66,48170
ZCTA5 17868,545,73169
ZCTA5 17870,5595,81566
ZCTA5 17872,4281,53528
ZCTA5 17876,725,69882
ZCTA5 17878,562,81062
ZCTA5 17880,42,56614
ZCTA5 17881,596,59740
ZCTA5 17884,84,42655
ZCTA5 17885,96,70022
ZCTA5 17886,470,58243
ZCTA5 17887,256,47921
ZCTA5 17888,173,68406
ZCTA5 17889,893,92245
ZCTA5 17901,9912,60819
ZCTA5 17920,145,50781
ZCTA5 17921,2667,62494
ZCTA5 17922,1948,97576
ZCTA5 17923,152,52692
ZCTA5 17925,121,71373
ZCTA5 17929,575,60309
ZCTA5 17930,167,49320
ZCTA5 17931,2010,75001
ZCTA5 17933,46,N
ZCTA5 17934,132,42267
ZCTA5 17935,700,50830
ZCTA5 17936,378,67233
ZCTA5 17938,1056,78613
ZCTA5 17941,288,69159
ZCTA5 17943,64,54778
ZCTA5 17944,67,78507
ZCTA5 17945,71,56492
ZCTA5 17946,47,70755
ZCTA5 17948,1845,49481
ZCTA5 17949,100,70948
ZCTA5 17951,171,100040
ZCTA5 17952,102,109978
ZCTA5 17953,171,59784
ZCTA5 17954,2109,44131
ZCTA5 17957,122,138998
ZCTA5 17959,587,65479
ZCTA5 17960,1795,72567
ZCTA5 17961,2544,92090
ZCTA5 17963,3765,76427
ZCTA5 17964,288,62002
ZCTA5 17965,869,57475
ZCTA5 17967,940,77314
ZCTA5 17968,77,89143
ZCTA5 17970,1421,59127
ZCTA5 17972,4874,64444
ZCTA5 17974,123,53520
ZCTA5 17976,2747,55035
ZCTA5 17978,136,49571
ZCTA5 17979,66,54450
ZCTA5 17980,1214,69735
ZCTA5 17981,1066,66220
ZCTA5 17982,232,59484
ZCTA5 17983,593,63377
ZCTA5 17985,517,74307
ZCTA5 18011,1983,104810
ZCTA5 18013,7113,85604
ZCTA5 18014,4326,85188
ZCTA5 18015,11003,83413
ZCTA5 18016,0,-
ZCTA5 18017,15788,94880
ZCTA5 18018,13297,86337
ZCTA5 18020,7811,118268
ZCTA5 18030,313,66036
ZCTA5 18031,4244,111765
ZCTA5 18032,3913,77679
ZCTA5 18034,3159,164883
ZCTA5 18035,7,N
ZCTA5 18036,5673,136917
ZCTA5 18037,3185,83023
ZCTA5 18038,1391,89918
ZCTA5 18040,6449,121089
ZCTA5 18041,2088,91174
ZCTA5 18042,15200,78858
ZCTA5 18045,10153,113019
ZCTA5 18046,53,N
ZCTA5 18049,7056,98301
ZCTA5 18051,1318,136677
ZCTA5 18052,11505,77452
ZCTA5 18053,851,81271
ZCTA5 18054,1697,113893
ZCTA5 18055,4620,107945
ZCTA5 18056,390,81328
ZCTA5 18058,3454,76370
ZCTA5 18059,381,123902
ZCTA5 18062,10426,111307
ZCTA5 18063,196,48117
ZCTA5 18064,9698,99937
ZCTA5 18066,2321,113664
ZCTA5 18067,7321,89267
ZCTA5 18068,0,-
ZCTA5 18069,3168,131903
ZCTA5 18070,242,72924
ZCTA5 18071,4368,80919
ZCTA5 18072,2522,79382
ZCTA5 18073,4123,108090
ZCTA5 18074,2298,132779
ZCTA5 18076,1187,81498
ZCTA5 18077,935,156793
ZCTA5 18078,3076,131412
ZCTA5 18079,169,64756
ZCTA5 18080,4662,77078
ZCTA5 18081,91,54716
ZCTA5 18083,136,72132
ZCTA5 18085,439,88629
ZCTA5 18086,329,69827
ZCTA5 18087,270,69309
ZCTA5 18088,3196,81578
ZCTA5 18091,2518,82839
ZCTA5 18092,1359,117842
ZCTA5 18101,1788,47879
ZCTA5 18102,16594,45126
ZCTA5 18103,18309,83292
ZCTA5 18104,16419,98975
ZCTA5 18105,0,-
ZCTA5 18106,2894,102277
ZCTA5 18109,6609,54966
ZCTA5 18195,0,-
ZCTA5 18201,10607,51577
ZCTA5 18202,4592,62350
ZCTA5 18210,2947,76967
ZCTA5 18211,471,72106
ZCTA5 18212,49,53741
ZCTA5 18214,787,67199
ZCTA5 18216,459,71501
ZCTA5 18218,910,58334
ZCTA5 18219,597,89561
ZCTA5 18220,112,53570
ZCTA5 18221,277,84786
ZCTA5 18222,3658,92753
ZCTA5 18223,76,N
ZCTA5 18224,2594,52724
ZCTA5 18225,0,-
ZCTA5 18229,3793,73279
ZCTA5 18230,44,64059
ZCTA5 18231,195,53206
ZCTA5 18232,1572,50889
ZCTA5 18234,302,47616
ZCTA5 18235,7794,76935
ZCTA5 18237,1458,52680
ZCTA5 18239,103,N
ZCTA5 18240,1557,61227
ZCTA5 18241,341,67032
ZCTA5 18242,207,96806
ZCTA5 18244,111,53352
ZCTA5 18245,152,32666
ZCTA5 18246,110,61166
ZCTA5 18248,223,66689
ZCTA5 18249,1447,93228
ZCTA5 18250,1237,70769
ZCTA5 18251,13,N
ZCTA5 18252,4807,65748
ZCTA5 18254,402,54273
ZCTA5 18255,1713,66020
ZCTA5 18256,144,65636
ZCTA5 18301,9995,95242
ZCTA5 18302,5871,87642
ZCTA5 18321,569,70269
ZCTA5 18322,1041,81138
ZCTA5 18323,46,N
ZCTA5 18324,3719,65547
ZCTA5 18325,991,118132
ZCTA5 18326,1247,65212
ZCTA5 18327,294,77520
ZCTA5 18328,2982,85682
ZCTA5 18330,2942,83206
ZCTA5 18331,217,63475
ZCTA5 18332,1070,89916
ZCTA5 18333,215,50849
ZCTA5 18334,1604,90307
ZCTA5 18335,262,110952
ZCTA5 18336,1712,98194
ZCTA5 18337,5459,98084
ZCTA5 18340,53,144030
ZCTA5 18342,234,45797
ZCTA5 18343,1570,92870
ZCTA5 18344,1334,87766
ZCTA5 18346,936,75935
ZCTA5 18347,1554,75504
ZCTA5 18349,123,143379
ZCTA5 18350,468,77085
ZCTA5 18351,201,57774
ZCTA5 18352,409,72370
ZCTA5 18353,4892,99800
ZCTA5 18354,452,67112
ZCTA5 18355,438,70437
ZCTA5 18356,28,N
ZCTA5 18357,54,N
ZCTA5 18360,10263,83974
ZCTA5 18370,617,86073
ZCTA5 18371,263,98038
ZCTA5 18372,1029,110166
ZCTA5 18403,2786,72016
ZCTA5 18405,1007,73442
ZCTA5 18407,6034,66493
ZCTA5 18411,8397,110177
ZCTA5 18413,104,115366
ZCTA5 18414,2259,95167
ZCTA5 18415,752,104367
ZCTA5 18417,375,73280
ZCTA5 18419,1666,73411
ZCTA5 18420,13,N
ZCTA5 18421,1851,73575
ZCTA5 18424,2036,77886
ZCTA5 18425,455,85213
ZCTA5 18426,1692,74315
ZCTA5 18427,27,N
ZCTA5 18428,4992,76036
ZCTA5 18430,0,-
ZCTA5 18431,4976,65163
ZCTA5 18433,2782,82373
ZCTA5 18434,1579,63276
ZCTA5 18435,361,147273
ZCTA5 18436,4827,83235
ZCTA5 18437,90,55049
ZCTA5 18438,574,53162
ZCTA5 18439,190,80015
ZCTA5 18441,154,145422
ZCTA5 18443,127,96246
ZCTA5 18444,5398,88962
ZCTA5 18445,926,69334
ZCTA5 18446,1329,70856
ZCTA5 18447,4435,63595
ZCTA5 18451,321,92958
ZCTA5 18452,2482,57228
ZCTA5 18453,425,70474
ZCTA5 18454,26,66158
ZCTA5 18455,57,51772
ZCTA5 18456,198,71017
ZCTA5 18457,44,19823
ZCTA5 18458,1227,89337
ZCTA5 18459,16,N
ZCTA5 18460,73,45666
ZCTA5 18461,146,65841
ZCTA5 18462,163,91517
ZCTA5 18463,87,89601
ZCTA5 18464,530,86891
ZCTA5 18465,497,68998
ZCTA5 18466,5796,76470
ZCTA5 18469,124,63620
ZCTA5 18470,846,76669
ZCTA5 18471,243,157127
ZCTA5 18472,1495,67598
ZCTA5 18473,197,38006
ZCTA5 18503,581,35153
ZCTA5 18504,8806,63467
ZCTA5 18505,8918,61116
ZCTA5 18507,2077,80138
ZCTA5 18508,5299,45820
ZCTA5 18509,5178,68831
ZCTA5 18510,5048,55664
ZCTA5 18512,5215,69116
ZCTA5 18517,2121,75214
ZCTA5 18518,3636,70542
ZCTA5 18519,2149,69242
ZCTA5 18602,123,173464
ZCTA5 18603,8527,63327
ZCTA5 18610,1551,69056
ZCTA5 18612,6340,100839
ZCTA5 18614,1032,56701
ZCTA5 18615,780,83481
ZCTA5 18616,323,65196
ZCTA5 18617,820,49245
ZCTA5 18618,1516,99123
ZCTA5 18619,107,62731
ZCTA5 18621,1951,86322
ZCTA5 18622,79,78292
ZCTA5 18623,1058,71395
ZCTA5 18624,262,115665
ZCTA5 18625,211,60169
ZCTA5 18626,195,77389
ZCTA5 18628,102,44574
ZCTA5 18629,778,73787
ZCTA5 18630,1208,79518
ZCTA5 18631,466,57367
ZCTA5 18632,265,64738
ZCTA5 18634,5478,62379
ZCTA5 18635,1509,73338
ZCTA5 18636,581,68266
ZCTA5 18640,7350,62603
ZCTA5 18641,3034,72583
ZCTA5 18642,1813,72823
ZCTA5 18643,5657,72973
ZCTA5 18644,3590,75326
ZCTA5 18651,4000,59808
ZCTA5 18653,68,90291
ZCTA5 18655,2350,69397
ZCTA5 18656,1008,69931
ZCTA5 18657,4698,86848
ZCTA5 18660,1460,79585
ZCTA5 18661,2129,69281
ZCTA5 18701,950,38638
ZCTA5 18702,16082,59141
ZCTA5 18704,13214,67950
ZCTA5 18705,6102,65645
ZCTA5 18706,6842,62158
ZCTA5 18707,5824,108634
ZCTA5 18708,3499,111108
ZCTA5 18709,1474,50376
ZCTA5 18801,3477,78764
ZCTA5 18810,2701,64387
ZCTA5 18812,687,90714
ZCTA5 18814,77,52195
ZCTA5 18816,48,65029
ZCTA5 18817,98,72886
ZCTA5 18818,566,65203
ZCTA5 18821,513,61571
ZCTA5 18822,1404,63259
ZCTA5 18823,89,57985
ZCTA5 18824,618,80625
ZCTA5 18825,31,85032
ZCTA5 18826,549,96929
ZCTA5 18828,153,65961
ZCTA5 18829,296,73229
ZCTA5 18830,267,74435
ZCTA5 18831,430,61995
ZCTA5 18832,805,60520
ZCTA5 18833,832,68799
ZCTA5 18834,1351,83224
ZCTA5 18837,1135,66248
ZCTA5 18840,4477,71270
ZCTA5 18842,88,62739
ZCTA5 18843,97,47454
ZCTA5 18844,749,98174
ZCTA5 18845,158,83365
ZCTA5 18846,377,93166
ZCTA5 18847,2387,65900
ZCTA5 18848,3742,61725
ZCTA5 18850,860,71417
ZCTA5 18851,271,69319
ZCTA5 18853,1736,77622
ZCTA5 18854,674,77388
ZCTA5 18901,10486,133441
ZCTA5 18902,7686,185218
ZCTA5 18912,5,N
ZCTA5 18913,16,N
ZCTA5 18914,8207,126726
ZCTA5 18915,256,104424
ZCTA5 18917,960,87102
ZCTA5 18920,127,91638
ZCTA5 18923,405,190710
ZCTA5 18925,2412,185003
ZCTA5 18929,3408,178478
ZCTA5 18930,990,111940
ZCTA5 18932,135,113964
ZCTA5 18935,20,N
ZCTA5 18936,0,-
ZCTA5 18938,6044,191503
ZCTA5 18940,11515,176878
ZCTA5 18942,1163,110295
ZCTA5 18944,9601,120658
ZCTA5 18947,2469,139784
ZCTA5 18950,75,208867
ZCTA5 18951,13398,97905
ZCTA5 18954,4360,172961
ZCTA5 18955,523,76505
ZCTA5 18960,4649,99026
ZCTA5 18962,149,88598
ZCTA5 18964,5283,101927
ZCTA5 18966,13591,123059
ZCTA5 18969,6061,100641
ZCTA5 18970,302,101833
ZCTA5 18972,1425,107641
ZCTA5 18974,17299,95252
ZCTA5 18976,7354,139685
ZCTA5 18977,1745,233722
ZCTA5 18980,199,160375
ZCTA5 19001,6132,99983
ZCTA5 19002,11620,161793
ZCTA5 19003,5665,135760
ZCTA5 19004,3869,174755
ZCTA5 19006,7988,132737
ZCTA5 19007,8719,78455
ZCTA5 19008,6901,135552
ZCTA5 19009,256,130283
ZCTA5 19010,7378,191504
ZCTA5 19012,2266,118747
ZCTA5 19013,12664,47320
ZCTA5 19014,7688,109389
ZCTA5 19015,6625,81433
ZCTA5 19017,60,129853
ZCTA5 19018,9575,79445
ZCTA5 19020,21379,94744
ZCTA5 19021,3797,68789
ZCTA5 19022,1493,48335
ZCTA5 19023,7805,54909
ZCTA5 19025,2344,256508
ZCTA5 19026,11854,98812
ZCTA5 19027,8041,114753
ZCTA5 19029,1567,68821
ZCTA5 19030,4546,98506
ZCTA5 19031,1648,167372
ZCTA5 19032,2289,63132
ZCTA5 19033,3007,97819
ZCTA5 19034,2161,171268
ZCTA5 19035,1443,409434
ZCTA5 19036,4958,82613
ZCTA5 19038,11337,119805
ZCTA5 19040,7763,106953
ZCTA5 19041,2426,227205
ZCTA5 19043,1039,89756
ZCTA5 19044,6480,104385
ZCTA5 19046,7312,142602
ZCTA5 19047,12297,120155
ZCTA5 19050,11225,71259
ZCTA5 19053,9936,101979
ZCTA5 19054,6279,105309
ZCTA5 19055,4863,78855
ZCTA5 19056,5808,107238
ZCTA5 19057,5979,86973
ZCTA5 19060,3660,155911
ZCTA5 19061,8073,88303
ZCTA5 19063,14697,134722
ZCTA5 19064,8675,133939
ZCTA5 19066,1661,279723
ZCTA5 19067,20311,146014
ZCTA5 19070,2793,96290
ZCTA5 19072,4121,209007
ZCTA5 19073,7920,168382
ZCTA5 19074,2265,82178
ZCTA5 19075,2843,115839
ZCTA5 19076,2718,86413
ZCTA5 19078,4528,95485
ZCTA5 19079,3452,63891
ZCTA5 19081,3599,141203
ZCTA5 19082,15251,62906
ZCTA5 19083,13002,126369
ZCTA5 19085,1852,368485
ZCTA5 19086,4369,152544
ZCTA5 19087,11749,196760
ZCTA5 19090,7006,98255
ZCTA5 19094,1696,84167
ZCTA5 19095,3123,127326
ZCTA5 19096,5549,215252
ZCTA5 19102,3365,177851
ZCTA5 19103,15765,134268
ZCTA5 19104,16508,46430
ZCTA5 19106,7625,162885
ZCTA5 19107,7823,91522
ZCTA5 19109,0,-
ZCTA5 19111,24355,69823
ZCTA5 19112,0,-
ZCTA5 19113,45,70231
ZCTA5 19114,13032,80138
ZCTA5 19115,14391,82939
ZCTA5 19116,12850,74943
ZCTA5 19118,4651,148898
ZCTA5 19119,11846,111458
ZCTA5 19120,24531,53609
ZCTA5 19121,12162,45509
ZCTA5 19122,6799,72780
ZCTA5 19123,8565,106137
ZCTA5 19124,22837,56264
ZCTA5 19125,10948,89666
ZCTA5 19126,5854,65851
ZCTA5 19127,2678,104604
ZCTA5 19128,16980,95665
ZCTA5 19129,4901,97886
ZCTA5 19130,14431,121662
ZCTA5 19131,17503,53014
ZCTA5 19132,13712,35854
ZCTA5 19133,9012,38922
ZCTA5 19134,21273,47673
ZCTA5 19135,12940,63165
ZCTA5 19136,12417,68317
ZCTA5 19137,3105,68661
ZCTA5 19138,11975,51524
ZCTA5 19139,18184,41195
ZCTA5 19140,19693,36525
ZCTA5 19141,13077,49039
ZCTA5 19142,9869,43501
ZCTA5 19143,24632,56396
ZCTA5 19144,18574,54552
ZCTA5 19145,17977,70563
ZCTA5 19146,17302,108126
ZCTA5 19147,18239,128426
ZCTA5 19148,19493,75581
ZCTA5 19149,18513,59480
ZCTA5 19150,9662,61289
ZCTA5 19151,12019,63686
ZCTA5 19152,13275,70746
ZCTA5 19153,5382,58996
ZCTA5 19154,12461,90650
ZCTA5 19301,2579,144165
ZCTA5 19310,948,94289
ZCTA5 19311,3115,155499
ZCTA5 19312,4174,220631
ZCTA5 19316,118,90511
ZCTA5 19317,3659,197674
ZCTA5 19319,51,269427
ZCTA5 19320,20237,94840
ZCTA5 19330,2052,121014
ZCTA5 19333,2787,184554
ZCTA5 19335,17913,148108
ZCTA5 19341,7825,135072
ZCTA5 19342,8064,147032
